Designator,Mid X,Mid Y,Rotation,Layer
C1,159.0805,-112.0,270.0,top
C10,149.4,-90.0,90.0,top
C11,149.1745,-112.0,270.0,top
C12,151.051,-90.0,90.0,top
C13,136.97,-99.2,180.0,top
C14,147.5235,-112.0,270.0,top
C15,152.702,-90.0,90.0,top
C16,145.8725,-112.0,270.0,top
C17,154.353,-90.0,90.0,top
C18,144.2215,-112.0,270.0,top
C19,156.004,-90.0,90.0,top
C2,141.145,-90.0,90.0,top
C20,142.5705,-112.0,270.0,top
C21,157.655,-90.0,90.0,top
C22,140.9195,-112.0,270.0,top
C23,159.306,-90.0,90.0,top
C24,121.05,-120.825,270.0,top
C25,126.85,-120.825,270.0,top
C26,153.865298,-108.0,0.0,top
C27,146.102054,-94.0,0.0,top
C28,153.865298,-106.4,0.0,top
C29,146.102054,-95.6,180.0,top
C3,114.1475,-111.63,0.0,top
C30,128.65,-120.235,270.0,top
C31,137.75,-120.235,270.0,top
C4,115.2,-88.475,0.0,top
C5,154.1275,-112.0,270.0,top
C6,146.098,-90.0,90.0,top
C7,152.4765,-112.0,270.0,top
C8,147.749,-90.0,90.0,top
C9,150.8255,-112.0,270.0,top
D1,123.95,-123.975,0.0,top
D2,146.665298,-108.0,270.0,top
D3,141.865298,-108.0,270.0,top
D4,144.265298,-108.0,270.0,top
D5,158.102054,-94.0,90.0,top
D6,153.302054,-94.0,90.0,top
D7,155.702054,-94.0,90.0,top
J1,150.0,-118.0,0.0,top
J2,150.0,-84.0,180.0,top
J3,132.85,-92.8375,0.0,top
J4,134.4,-78.4,270.0,top
J5,113.4,-83.45,180.0,top
J6,120.1,-84.3,180.0,top
L1,150.065298,-108.25,0.0,top
L2,149.902054,-93.75,180.0,top
Q1,118.4,-89.25,0.0,top
Q2,157.2,-109.05,180.0,top
Q3,142.767352,-92.95,0.0,top
Q4,123.85,-117.875,0.0,top
R1,115.2,-90.025,180.0,top
R10,136.321429,-117.815,180.0,top
R11,133.2,-124.965,180.0,top
R12,130.221429,-117.815,180.0,top
R13,133.271429,-117.815,180.0,top
R14,137.75,-123.285,270.0,top
R15,128.65,-123.285,90.0,top
R2,157.4295,-112.0,270.0,top
R3,142.796,-90.0,90.0,top
R4,155.7785,-112.0,270.0,top
R5,144.447,-90.0,90.0,top
R6,153.865298,-109.62,0.0,top
R7,157.0,-106.4,180.0,top
R8,146.102054,-92.38,180.0,top
R9,142.967352,-95.6,180.0,top
SW1,115.1,-120.5,90.0,top
U1,117.3625,-100.7875,90.0,top
U2,134.75,-105.25,0.0,top
U3,123.95,-121.0,0.0,top
U4,133.2,-121.365,180.0,top
USB1,133.2,-113.95,90.0,top
